Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","08/30/2024","0798","N580JB","LGA","17:40","17:50","10","0","0","0","0","0"
"B6","08/30/2024","0884","N3142J","JFK","06:00","06:01","1","0","0","0","0","0"
"B6","08/30/2024","0998","N3203J","LGA","20:30","20:57","27","27","0","4","0","0"
"B6","08/30/2024","1033","N646JB","SJU","07:00","07:05","5","0","0","0","0","0"
"B6","08/30/2024","1076","N796JB","PVD","11:30","11:21","-9","0","0","0","0","0"
"B6","08/30/2024","1084","N597JB","JFK","16:00","18:48","168","108","0","0","0","57"
"B6","08/30/2024","1098","N3203J","LGA","13:00","12:58","-2","0","0","23","0","0"
"B6","08/30/2024","1133","N766JB","SJU","10:45","10:38","-7","0","0","0","0","0"
"B6","08/30/2024","1152","N793JB","BOS","19:30","19:34","4","4","0","14","0","0"
"B6","08/30/2024","1184","N905JB","JFK","07:10","07:07","-3","0","0","0","0","0"
"B6","08/30/2024","1233","N661JB","SJU","05:01","05:00","-1","0","0","0","0","0"
"B6","08/30/2024","1284","N612JB","JFK","18:00","19:21","81","3","0","0","0","45"
"B6","08/30/2024","1294","N636JB","HPN","20:10","20:07","-3","0","0","0","0","0"
"B6","08/30/2024","1433","N705JB","SJU","17:10","17:10","0","0","0","0","0","0"
"B6","08/30/2024","1494","N796JB","HPN","18:59","19:53","54","43","0","0","0","0"
"B6","08/30/2024","1584","N624JB","JFK","09:20","12:52","212","57","0","0","0","144"
"B6","08/30/2024","1586","N607JB","BUF","19:35","19:30","-5","0","0","0","0","0"
"B6","08/30/2024","1652","N526JL","BOS","06:00","05:54","-6","0","0","0","0","0"
"B6","08/30/2024","1694","N621JB","HPN","16:59","17:06","7","0","0","0","0","0"
"B6","08/30/2024","1728","N520JB","EWR","19:25","20:02","37","32","0","0","0","0"
"B6","08/30/2024","1952","N527JL","BOS","20:45","23:00","135","16","0","0","0","100"
"B6","08/30/2024","2028","N504JB","EWR","07:00","06:51","-9","0","0","0","0","0"
"B6","08/30/2024","2052","N517JB","BOS","16:45","16:50","5","0","0","0","0","0"
"B6","08/30/2024","2128","N821JB","EWR","21:35","22:41","66","4","0","0","0","50"
"B6","08/30/2024","2133","N634JB","SJU","22:25","22:15","-10","0","0","0","0","0"
"B6","08/30/2024","2252","N509JB","BOS","09:39","09:36","-3","0","0","0","0","0"
"B6","08/30/2024","2324","N586JB","DCA","09:50","09:44","-6","0","0","24","0","0"
"B6","08/30/2024","2384","N3169J","JFK","10:15","11:22","67","18","0","0","0","48"
"B6","08/30/2024","2424","N629JB","DCA","15:40","15:48","8","0","0","0","0","0"
"B6","08/30/2024","2984","N624JB","JFK","20:35","20:37","2","0","0","0","0","0"
"B6","08/31/2024","0094","N527JL","HPN","10:30","10:27","-3","0","0","0","0","0"
"B6","08/31/2024","0119","N593JB","RIC","13:50","14:32","42","33","0","0","0","0"
"B6","08/31/2024","0128","N630JB","EWR","13:00","13:08","8","0","0","0","0","0"
"B6","08/31/2024","0131","N784JB","LAX","18:00","17:52","-8","0","0","0","0","0"
"B6","08/31/2024","0184","N2029J","JFK","13:45","13:57","12","0","0","0","0","0"
"B6","08/31/2024","0430","N703JB","BQN","14:00","13:59","-1","0","0","0","0","0"
"B6","08/31/2024","0438","N569JB","BDL","14:55","14:58","3","0","0","0","0","0"
"B6","08/31/2024","0446","N554JB","BDL","09:30","09:27","-3","0","0","0","0","0"
"B6","08/31/2024","0488","N784JB","ORH","09:25","09:20","-5","0","0","0","0","0"
"B6","08/31/2024","0500","N547JB","RDU","16:40","16:34","-6","0","0","0","0","0"
"B6","08/31/2024","0552","N504JB","BOS","14:10","14:20","10","0","0","0","0","0"
"B6","08/31/2024","0598","N580JB","LGA","06:45","06:40","-5","0","0","0","0","0"
"B6","08/31/2024","0656","N519JB","SYR","20:55","21:02","7","0","0","0","0","0"
"B6","08/31/2024","0698","N766JB","LGA","10:05","10:31","26","12","0","0","0","3"
"B6","08/31/2024","0767","N529JB","PSE","18:00","18:17","17","0","0","0","0","0"
"B6","08/31/2024","0770","N508JL","ALB","13:05","13:00","-5","0","0","0","0","0"
"B6","08/31/2024","0784","N2043J","JFK","14:45","14:45","0","0","0","33","0","0"
"B6","08/31/2024","0798","N789JB","LGA","17:40","17:47","7","0","0","0","0","0"
"B6","08/31/2024","0884","N3132J","JFK","06:00","06:17","17","0","0","0","0","0"
"B6","08/31/2024","0998","N3118J","LGA","20:30","20:31","1","0","0","0","0","0"
"B6","08/31/2024","1033","N569JB","SJU","07:00","06:55","-5","0","0","0","0","0"
"B6","08/31/2024","1076","N590JB","PVD","11:40","12:08","28","0","0","0","0","0"
"B6","08/31/2024","1084","N509JB","JFK","16:24","16:23","-1","0","0","0","0","0"
"B6","08/31/2024","1098","N3139J","LGA","13:00","12:57","-3","0","0","0","0","0"
"B6","08/31/2024","1133","N592JB","SJU","10:45","10:48","3","0","0","0","0","0"
"B6","08/31/2024","1184","N995JL","JFK","07:10","07:01","-9","0","0","0","0","0"
"B6","08/31/2024","1233","N649JB","SJU","05:01","05:00","-1","0","0","0","0","0"
"B6","08/31/2024","1284","N834JB","JFK","18:00","18:07","7","0","0","0","0","0"
"B6","08/31/2024","1294","N630JB","HPN","20:10","20:24","14","0","0","0","0","0"
"B6","08/31/2024","1433","N637JB","SJU","16:10","16:08","-2","0","0","0","0","0"
"B6","08/31/2024","1494","N527JL","HPN","18:59","19:04","5","0","0","0","0","0"
"B6","08/31/2024","1584","N607JB","JFK","09:20","09:17","-3","0","0","0","0","0"
"B6","08/31/2024","1586","N508JL","BUF","20:59","20:50","-9","0","0","20","0","0"
"B6","08/31/2024","1652","N768JB","BOS","06:00","05:58","-2","0","0","0","0","0"
"B6","08/31/2024","1694","N554JB","HPN","16:59","16:54","-5","0","0","0","0","0"
"B6","08/31/2024","1728","N505JB","EWR","19:25","19:21","-4","0","0","0","0","0"
"B6","08/31/2024","2024","N505JB","DCA","06:00","05:47","-13","0","0","0","0","0"
"B6","08/31/2024","2028","N504JB","EWR","07:00","06:54","-6","0","0","0","0","0"
"B6","08/31/2024","2128","N703JB","EWR","21:35","21:52","17","0","0","0","0","0"
"B6","08/31/2024","2252","N834JB","BOS","09:39","09:53","14","0","0","0","0","0"
"B6","08/31/2024","2324","N807JB","DCA","09:50","10:20","30","0","0","0","0","0"
"B6","08/31/2024","2384","N962JT","JFK","10:15","10:13","-2","0","0","0","0","0"
"B6","08/31/2024","2424","N568JB","DCA","15:30","15:27","-3","0","0","0","0","0"
